"","Player","Nation","Pos","Squad","Matches","League","Rk","Age","Born","MP","Starts","Min","Gls","Ast","PK","PKatt","CrdY","CrdR","xG","npxG","xA","Sh","SoT","FK","SoTperc","GperSh","GperSoT","npxGperSh","G-xG","npG-xG","PassCmp","PassAtt","PassCmpperc","PassTotDist","PassPrgDist","ShPassCmp","ShPassAtt","ShPassCmpperc","MedPassCmp","MedPassAtt","MedPassCmpperc","LngPassCmp","LngPassAtt","LngPassCmpperc","A-xA","KP","PassF3","PPA","CrsPA","ProgPasses","Att","PassLive","PassDead","PassFK","PassTB","PassPress","PassSw","PassCrs","PassCK","CKIn","CKOut","CKStr","PassGround","PassLow","PassHigh","PassLeft","PassRight","PassHead","PassTI","PassOther","PassOff","PassOut","PassInt","PassBlocks","SCA","SCAPassLive","SCAPassDead","SCADrib","SCASh","SCAFld","GCA","GCAPassLive","GCAPassDead","GCADrib","GCASh","GCAFld","GCAOG","TklDef3rd","TklMid3rd","TklAtt3rd","vDribTkl","vDribAtt","vDribTklperc","vDribPast","PressSucc","Pressperc","PressDef3rd","PressMid3rd","PressAtt3rd","BlockSh","BlockShSv","BlockPass","Int","Clr","Err","Touches","TouchesDefPen","TouchesDef3rd","TouchesMid3rd","TouchesAtt3rd","TouchesAttPen","TouchesLive","DribSucc","DribAtt","DribSuccperc","Drib#Pl","DribMegs","Carries","CarryTotDist","CarryPrgDist","Targ","Rec","Recperc","Miscon","Dispos","2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","AerWon","AerLost","AerWonperc"
"4492","Ricardo Rodríguez","ch SUI","DF","Milan","Matches","Serie-A",431,24,1992,34,34,3005,1,0,1,2,4,2,2.6,1.1,1.5,29,6,2,20.7,0,0,0.04,-1.6,-1.1,1737,2093,83,32279,10193,12,45,26.7,1401,1539,91,324,509,63.7,-1.5,22,139,31,20,175,2093,1875,218,21,3,383,93,120,1,0,0,1,1443,195,455,1348,461,64,196,6,8,29,19,55,49,41,4,1,1,2,2,1,0,0,1,0,0,24,17,8,13,26,50,13,124,32.7,166,154,59,6,0,50,33,65,1,2385,106,694,1251,626,30,2170,24,31,77.4,24,0,1709,9305,5152,1691,1613,95.4,25,18,1,33,27,2,120,27,0,1,0,306,29,28,50.9
"4502","Marko Rog","hr CRO","FW,MF","Napoli","Matches","Serie-A",432,22,1995,28,0,289,1,0,0,0,2,0,0.5,0.5,0.7,5,3,0,60,0.2,0.33,0.1,0.5,0.5,247,282,87.6,3181,601,13,19,68.4,214,236,90.7,20,27,74.1,-0.7,7,20,1,0,14,282,279,3,2,0,48,1,5,0,0,0,0,222,47,13,36,230,9,1,1,2,4,4,8,12,11,0,1,0,0,0,0,0,0,0,0,0,2,6,4,3,12,25,9,34,24.6,18,90,30,1,0,3,4,4,0,330,3,42,201,100,11,327,6,11,54.5,6,0,248,956,583,301,269,89.4,6,10,0,9,6,0,5,10,0,0,0,35,8,8,50
"4513","Rogério","br BRA","DF,MF","Sassuolo","Matches","Serie-A",433,19,1998,13,10,910,0,0,0,0,4,0,0.1,0.1,0.4,3,1,0,33.3,0,0,0.03,-0.1,-0.1,299,427,70,6160,3211,8,19,42.1,210,275,76.4,81,133,60.9,-0.4,8,37,7,7,59,427,372,55,4,0,49,13,25,0,0,0,0,223,67,137,333,27,14,51,1,7,13,8,18,11,10,0,1,0,0,0,0,0,0,0,0,0,15,4,3,9,17,52.9,8,53,30.1,80,73,23,1,0,17,13,17,0,540,42,200,242,149,6,486,18,27,66.7,20,0,375,2786,1549,327,303,92.7,5,18,0,11,17,0,25,14,0,0,0,102,1,3,25
"4522","Marcus Rohdén","se SWE","MF","Crotone","Matches","Serie-A",434,26,1991,26,20,1632,2,0,0,0,2,0,1.3,1.3,1.1,22,7,0,31.8,0.09,0.29,0.06,0.7,0.7,360,537,67,5751,2059,8,24,33.3,304,413,73.6,48,100,48,-1.1,8,28,6,1,46,537,528,9,1,0,92,6,18,0,0,0,0,323,117,97,86,374,53,4,11,2,20,13,18,21,18,0,1,2,0,0,0,0,0,0,0,0,22,10,1,16,67,23.9,51,105,22.8,174,225,61,1,0,19,19,16,0,735,29,179,371,243,27,726,17,34,50,19,2,466,2940,1533,566,445,78.6,40,14,0,19,25,2,18,14,0,0,0,176,12,32,27.3
"4532","Filippo Romagna","it ITA","DF","Cagliari","Matches","Serie-A",435,20,1997,23,21,1888,0,0,0,0,0,0,0,0,0.1,3,0,0,0,0,NA,0.02,0,0,670,897,74.7,14700,5521,7,23,30.4,454,537,84.5,209,337,62,-0.1,3,74,10,3,79,897,851,46,35,0,150,26,15,0,0,0,0,526,93,278,38,762,61,10,2,6,30,14,19,10,8,0,1,1,0,1,1,0,0,0,0,0,28,9,2,12,24,50,12,72,34.4,127,71,11,9,0,24,35,90,1,1091,116,551,544,77,3,1051,6,7,85.7,6,0,649,4059,2145,605,597,98.7,7,6,0,13,15,0,15,25,0,1,0,247,37,23,61.7
"4542","Alessio Romagnoli","it ITA","DF","Milan","Matches","Serie-A",436,22,1995,28,27,2353,2,0,0,0,8,2,0.9,0.9,0.1,10,4,0,40,0.2,0.5,0.09,1.1,1.1,1354,1502,90.1,28192,8525,4,15,26.7,962,1022,94.1,388,465,83.4,-0.1,4,70,0,0,79,1502,1455,47,21,0,191,25,6,0,0,0,0,1160,129,213,1232,142,71,26,5,3,17,10,15,19,15,0,1,3,0,2,1,0,0,1,0,0,18,6,2,7,15,46.7,8,42,27.8,102,39,10,17,2,20,24,119,1,1727,190,829,907,86,14,1682,1,3,33.3,2,0,1088,5599,2938,1188,1171,98.6,1,4,1,26,10,2,6,18,0,0,0,251,45,24,65.2
"4552","Simone Romagnoli","it ITA","DF","Bologna","Matches","Serie-A",437,27,1990,8,6,557,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,232,287,80.8,5331,1738,1,3,33.3,144,164,87.8,87,120,72.5,0,1,16,2,0,14,287,277,10,8,0,31,9,0,0,0,0,0,191,14,82,44,213,20,2,2,0,11,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,8,6,0,2,6,33.3,4,28,45.2,39,20,3,7,1,8,7,30,1,345,50,189,172,9,0,335,1,1,100,1,0,209,1410,631,198,196,99,3,0,0,7,1,0,0,9,0,0,0,72,14,10,58.3
"4562","Aristóteles Romero","ve VEN","MF","Crotone","Matches","Serie-A",438,21,1995,6,0,86,0,0,0,0,2,0,0.1,0.1,0,1,0,0,0,0,NA,0.06,-0.1,-0.1,36,49,73.5,883,127,0,2,0,21,30,70,15,17,88.2,0,1,6,0,0,1,49,49,0,0,0,9,3,0,0,0,0,0,35,9,5,5,42,1,0,0,0,3,2,2,3,2,0,0,1,0,0,0,0,0,0,0,0,4,3,0,1,5,20,4,10,24.4,20,17,4,0,0,2,5,0,0,65,0,19,43,13,2,65,6,6,100,6,0,55,490,273,41,36,87.8,2,3,0,4,0,0,0,4,0,0,0,18,1,4,20
"4572","Rômulo","it ITA","MF,DF","Hellas Verona","Matches","Serie-A",439,30,1987,37,36,3168,3,5,2,2,7,0,4.3,2.8,4.2,28,7,6,25,0.04,0.14,0.1,-1.3,-1.8,1155,1583,73,19672,6661,21,82,25.6,960,1156,83,174,345,50.4,0.8,48,78,33,14,174,1583,1358,225,51,2,235,56,192,57,11,18,6,911,302,370,94,1325,42,109,8,7,28,27,72,76,48,16,5,2,5,8,6,2,0,0,0,0,28,25,9,16,64,25,48,117,23.8,181,228,82,4,0,38,48,37,0,1924,70,532,961,673,46,1706,53,88,60.2,58,3,1306,12109,7431,1373,1165,84.9,51,52,0,31,29,7,192,40,0,0,0,331,7,24,22.6
"4582","Marten de Roon","nl NED","MF","Atalanta","Matches","Serie-A",440,26,1991,34,29,2571,3,3,1,2,9,2,3.1,1.5,2,24,8,0,33.3,0.08,0.25,0.06,-0.1,0.5,1426,1685,84.6,29208,7826,17,40,42.5,1020,1165,87.6,389,480,81,1,21,174,23,3,169,1685,1641,44,30,0,283,65,6,3,0,2,0,1254,201,230,210,1349,77,11,2,5,30,28,25,53,47,0,1,3,2,7,6,0,1,0,0,0,26,42,7,22,98,22.4,76,198,30,168,395,98,6,0,42,47,52,1,1966,48,395,1271,428,41,1924,12,17,70.6,14,0,1351,6697,3508,1374,1300,94.6,20,19,1,57,20,0,6,53,0,0,0,369,45,42,51.7
